iteration,current energy,average energy,temperature,lowest energy,accept good rate,accept bad rate,reject rate,time period
0,282.287,671.795,100,282.287,0,0,0,0
1,385.31,539.821,98,140.06,0.12,0.37,0.51,0
2,261.106,579.96,96.04,10.5865,0.1,0.21,0.69,0
3,136.091,575.398,94.1192,6.90341,0.1,0.16,0.74,0
4,367.751,488.199,92.2368,6.90341,0.08,0.07,0.85,0
5,484.72,535.106,90.3921,6.90341,0.02,0.07,0.91,0
6,147.439,579.232,88.5842,6.90341,0.1,0.16,0.74,0
7,31.8637,581.355,86.8126,6.90341,0.06,0.29,0.65,0
8,46.831,513.862,85.0763,6.90341,0.06,0.14,0.8,0
9,122.336,534.242,83.3748,6.90341,0.03,0.03,0.94,0
10,295.161,557.169,81.7073,6.90341,0.02,0.09,0.89,0
11,68.6381,570.722,80.0731,6.90341,0.07,0.04,0.89,0
12,468.954,582.685,78.4717,6.90341,0.13,0.12,0.75,0
13,552.181,597.468,76.9022,6.90341,0.06,0.22,0.72,0
14,599.573,580.295,75.3642,2.98827,0.12,0.31,0.57,0
15,282.609,575.114,73.8569,2.98827,0.07,0.16,0.77,0
16,297.642,534.403,72.3798,2.98827,0.07,0.15,0.78,0
17,35.3132,564.824,70.9322,2.98827,0.02,0.35,0.63,0
18,308.342,561.211,69.5135,2.98827,0.05,0.11,0.84,0
19,238.595,628.457,68.1233,2.98827,0.02,0.15,0.83,0
20,138.076,533.721,66.7608,2.98827,0.13,0.44,0.43,0
21,324.186,561.188,65.4256,2.98827,0.04,0.08,0.88,0
22,386.7,615.683,64.1171,2.98827,0.01,0.21,0.78,0
23,306.76,659.267,62.8347,2.98827,0.11,0.08,0.81,0
24,142.696,553.045,61.578,2.98827,0.08,0.24,0.68,0
25,33.3559,499.478,60.3465,2.98827,0.05,0.04,0.91,0
26,32.7727,511.205,59.1395,2.98827,0.04,0.02,0.94,0
27,22.569,495.593,57.9568,2.98827,0.03,0.04,0.93,0
28,66.6137,511.001,56.7976,2.98827,0.01,0.01,0.98,0
29,18.48,459.105,55.6617,2.98827,0.01,0.01,0.98,0
30,12.1871,535.272,54.5484,2.98827,0.04,0.02,0.94,0
31,55.3939,508.345,53.4575,2.98827,0.03,0.03,0.94,0
32,48.6198,489.548,52.3883,2.98827,0,0.03,0.97,0
33,6.75462,484.886,51.3405,2.98827,0.02,0.01,0.97,0
34,3.48991,507.387,50.3137,2.98827,0.02,0.02,0.96,0
35,77.5805,526.212,49.3075,2.98827,0.02,0,0.98,0
36,146.396,560.314,48.3213,2.98827,0.01,0.02,0.97,0
37,312.893,563.614,47.3549,2.98827,0.02,0.02,0.96,0
38,45.3381,496.063,46.4078,2.98827,0.02,0.1,0.88,0
39,45.3381,535.178,45.4796,2.98827,0.04,0.02,0.94,0
40,5.86839,500.98,44.57,2.98827,0,0,1,0
41,32.9429,496.819,43.6786,2.98827,0.04,0.02,0.94,0
42,19.7793,477.737,42.8051,2.98827,0.01,0.03,0.96,0
43,19.7793,478.664,41.949,2.98827,0.02,0.02,0.96,0
44,49.0765,505.548,41.11,2.98827,0,0,1,0
